region1,region2,region3
대구광역시,중구,동인동
대구광역시,중구,삼덕동
대구광역시,중구,성내1동
대구광역시,중구,성내2동
대구광역시,중구,성내3동
대구광역시,중구,대신동
대구광역시,중구,남산1동
대구광역시,중구,남산2동
대구광역시,중구,남산3동
대구광역시,중구,남산4동
대구광역시,중구,대봉1동
대구광역시,중구,대봉2동
대구광역시,동구,신암1동
대구광역시,동구,신암2동
대구광역시,동구,신암3동
대구광역시,동구,신암4동
대구광역시,동구,신암5동
대구광역시,동구,신천1·2동
대구광역시,동구,신천3동
대구광역시,동구,신천4동
대구광역시,동구,효목1동
대구광역시,동구,효목2동
대구광역시,동구,도평동
대구광역시,동구,불로·봉무동
대구광역시,동구,지저동
대구광역시,동구,동촌동
대구광역시,동구,방촌동
대구광역시,동구,해안동
대구광역시,동구,안심1동
대구광역시,동구,안심2동
대구광역시,동구,안심3동
대구광역시,동구,안심4동
대구광역시,동구,혁신동
대구광역시,동구,공산동
대구광역시,서구,내당1동
대구광역시,서구,내당2·3동
대구광역시,서구,내당4동
대구광역시,서구,비산1동
대구광역시,서구,비산2·3동
대구광역시,서구,비산4동
대구광역시,서구,비산5동
대구광역시,서구,비산6동
대구광역시,서구,비산7동
대구광역시,서구,평리1동
대구광역시,서구,평리2동
대구광역시,서구,평리3동
대구광역시,서구,평리4동
대구광역시,서구,평리5동
대구광역시,서구,평리6동
대구광역시,서구,상중이동
대구광역시,서구,원대동
대구광역시,남구,이천동
대구광역시,남구,봉덕1동
대구광역시,남구,봉덕2동
대구광역시,남구,봉덕3동
대구광역시,남구,대명1동
대구광역시,남구,대명2동
대구광역시,남구,대명3동
대구광역시,남구,대명4동
대구광역시,남구,대명5동
대구광역시,남구,대명6동
대구광역시,남구,대명9동
대구광역시,남구,대명10동
대구광역시,남구,대명11동
대구광역시,북구,고성동
대구광역시,북구,칠성동
대구광역시,북구,침산1동
대구광역시,북구,침산2동
대구광역시,북구,침산3동
대구광역시,북구,산격1동
대구광역시,북구,산격2동
대구광역시,북구,산격3동
대구광역시,북구,산격4동
대구광역시,북구,대현동
대구광역시,북구,복현1동
대구광역시,북구,복현2동
대구광역시,북구,검단동
대구광역시,북구,무태조야동
대구광역시,북구,관문동
대구광역시,북구,태전1동
대구광역시,북구,태전2동
대구광역시,북구,구암동
대구광역시,북구,관음동
대구광역시,북구,읍내동
대구광역시,북구,동천동
대구광역시,북구,노원동
대구광역시,북구,국우동
대구광역시,수성구,범어1동
대구광역시,수성구,범어2동
대구광역시,수성구,범어3동
대구광역시,수성구,범어4동
대구광역시,수성구,만촌1동
대구광역시,수성구,만촌2동
대구광역시,수성구,만촌3동
대구광역시,수성구,수성1가동
대구광역시,수성구,수성2·3가동
대구광역시,수성구,수성4가동
대구광역시,수성구,황금1동
대구광역시,수성구,황금2동
대구광역시,수성구,중동
대구광역시,수성구,상동
대구광역시,수성구,파동
대구광역시,수성구,두산동
대구광역시,수성구,지산1동
대구광역시,수성구,지산2동
대구광역시,수성구,범물1동
대구광역시,수성구,범물2동
대구광역시,수성구,고산1동
대구광역시,수성구,고산2동
대구광역시,수성구,고산3동
대구광역시,달서구,성당동
대구광역시,달서구,"두류1,2동"
대구광역시,달서구,두류3동
대구광역시,달서구,감삼동
대구광역시,달서구,죽전동
대구광역시,달서구,장기동
대구광역시,달서구,용산1동
대구광역시,달서구,용산2동
대구광역시,달서구,이곡1동
대구광역시,달서구,이곡2동
대구광역시,달서구,신당동
대구광역시,달서구,본리동
대구광역시,달서구,월성1동
대구광역시,달서구,월성2동
대구광역시,달서구,진천동
대구광역시,달서구,유천동
대구광역시,달서구,상인1동
대구광역시,달서구,상인2동
대구광역시,달서구,상인3동
대구광역시,달서구,도원동
대구광역시,달서구,송현1동
대구광역시,달서구,송현2동
대구광역시,달서구,본동
대구광역시,달성군,화원읍
대구광역시,달성군,논공읍
대구광역시,달성군,다사읍
대구광역시,달성군,유가읍
대구광역시,달성군,옥포읍
대구광역시,달성군,현풍읍
대구광역시,달성군,가창면
대구광역시,달성군,하빈면
대구광역시,달성군,구지면
