矫痢,青沥备开(备焙)喊(1),傍盔
2010,吝备,199274.7
2010,悼备,634963.3
2010,辑备,61716
2010,巢备,2677733.7
2010,合备,676553.9
2010,荐己备,488678.3
2010,崔辑备,2064684.4
2010,崔己焙,747991.4
2011,吝备,199274.7
2011,悼备,682239.6
2011,辑备,61716
2011,巢备,2676255.7
2011,合备,676553.9
2011,荐己备,488678.3
2011,崔辑备,2064684.4
2011,崔己焙,789724.4
2012,吝备,198510.1
2012,悼备,706461.6
2012,辑备,61716
2012,巢备,2676255.7
2012,合备,678151.5
2012,荐己备,488678.3
2012,崔辑备,2064684.4
2012,崔己焙,999398.1
2013,吝备,198510.1
2013,悼备,707961.6
2013,辑备,61716
2013,巢备,2676255.7
2013,合备,804765.3
2013,荐己备,490883.6
2013,崔辑备,2105372.1
2013,崔己焙,1094943.1
2014,吝备,199546.4
2014,悼备,1414463.5
2014,辑备,81587.1
2014,巢备,2677057.7
2014,合备,804625.6
2014,荐己备,487580.9
2014,崔辑备,2099381.9
2014,崔己焙,2073525.9
2015,吝备,199546.4
2015,悼备,1785527
2015,辑备,82862.1
2015,巢备,2677057.7
2015,合备,804625.6
2015,荐己备,485500.8
2015,崔辑备,2109812.9
2015,崔己焙,2313168.2
2016,吝备,199764.6
2016,悼备,1820432.3
2016,辑备,82862.1
2016,巢备,2677057.7
2016,合备,806126.6
2016,荐己备,551585.5
2016,崔辑备,2131783.1
2016,崔己焙,2368500.4
2017,吝备,210327.5
2017,悼备,1820363.2
2017,辑备,82240
2017,巢备,2676336.9
2017,合备,808356.3
2017,荐己备,551809.6
2017,崔辑备,2307882.7
2017,崔己焙,3047418.3
2018,吝备,210887.1
2018,悼备,1819309.5
2018,辑备,82240
2018,巢备,2676401.9
2018,合备,825009.8
2018,荐己备,717508.3
2018,崔辑备,2309696.7
2018,崔己焙,3047418.3
2019,吝备,211412.6
2019,悼备,1948899.4
2019,辑备,82240
2019,巢备,2676401.9
2019,合备,947977.6
2019,荐己备,715909.2
2019,崔辑备,2309668.4
2019,崔己焙,3052105.8
