행정구역,면적(km²)
고성동,0.53
칠성동,1.36
침산1동,1.21
침산2동,0.99
침산3동,1.07
산격1동,0.91
산격2동,2.29
산격3동,0.8
산격4동,0.74
대현동,1.22
복현1동,0.39
복현2동,1.87
검단동,3.91
노원동,3.09
무태조야동,23.24
관문동,14.64
태전1동,2.7
태전2동,1.71
구암동,4.4
관음동,2.99
읍내동,5.71
동천동,1.12
국우동,17.19
동인동,0.99
삼덕동,0.64
성내1동,0.9
성내2동,0.76
성내3동,0.79
대신동,0.52
남산1동,0.39
남산2동,0.38
남산3동,0.4
남산4동,0.45
대봉1동,0.59
대봉2동,0.25
내당1동,0.47
내당2.3동,0.65
내당4동,0.76
비산1동,0.64
비산2.3동,0.49
비산4동,0.39
비산5동,0.28
비산6동,0.27
비산7동,2.74
평리1동,0.37
평리2동,0.23
평리3동,0.65
평리4동,0.71
평리5동,0.61
평리6동,0.91
상중이동,6.69
원대동,1
성당동,1.99
두류1.2동,1.33
두류3동,1.11
본리동,1.09
감삼동,1.18
죽전동,0.74
장기동,3.11
용산1동,1.22
용산2동,1.33
이곡1동,1.82
이곡2동,2.04
신당동,9.38
월성1동,2.18
월성2동,6.3
진천동,5.97
유천동,1.25
상인1동,1.39
상인2동,0.9
상인3동,3.68
도원동,10.64
송현1동,2.46
송현2동,0.97
본동,1.1
이천동,1.09
봉덕1동,0.49
봉덕2동,3.07
봉덕3동,2.69
대명1동,0.45
대명2동,0.83
대명3동,0.94
대명4동,0.71
대명5동,0.92
대명6동,1.5
대명9동,3.38
대명10동,0.5
대명11동,0.87
신암1동,0.61
신암2동,0.38
신암3동,0.61
신암4동,1.18
신암5동,0.57
신천1.2동,0.47
신천3동,0.7
신천4동,0.78
효목1동,1.38
효목2동,0.72
도평동,19.23
불로.봉무동,7.98
지저동,1.94
동촌동,5.34
방촌동,1.24
해안동,13.29
안심1동,3.34
안심2동,13.54
안심3동,6.1
안심4동,2.53
혁신동,16.42
안심3.4동,25.12
공산동,83.7
범어1동,1.09
범어2동,1.13
범어3동,0.57
범어4동,1.08
만촌1동,2.88
만촌2동,1.62
만촌3동,1.78
수성1가동,0.58
수성2.3가동,0.65
수성4가동,0.63
황금1동,2.69
황금2동,1.16
중동,0.91
상동,1.33
파동,5.82
두산동,1.97
지산1동,2.64
지산2동,1.97
범물1동,5.44
범물2동,2.33
고산1동,8.79
고산2동,24.39
고산3동,5.01
화원읍,27.68
논공읍,43.87
다사읍,36.66
유가읍,57.37
옥포읍,48.94
현풍읍,24.47
가창면,111.17
하빈면,36.7
구지면,39.75
